;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;genero;total_genero
907;2906006;Campo Formoso;Piemonte Norte do Itapicuru;2010;total_homens;33464
908;2906105;Canápolis;Bacia do Rio Corrente;2010;total_homens;4808
909;2906204;Canarana;Irecê;2010;total_homens;12126
910;2906303;Canavieiras;Litoral Sul;2010;total_homens;16089
911;2906402;Candeal;Sisal;2010;total_homens;4499
912;2906501;Candeias;Metropolitano de Salvador;2010;total_homens;40314
913;2906600;Candiba;Sertão Produtivo;2010;total_homens;6815
914;2906709;Cândido Sales;Sudoeste Baiano;2010;total_homens;14032
915;2906808;Cansanção;Sisal;2010;total_homens;16560
916;2906824;Canudos;Sertão do São Francisco;2010;total_homens;7997
917;2906857;Capela do Alto Alegre;Bacia do Jacuípe;2010;total_homens;5808
918;2906873;Capim Grosso;Piemonte da Diamantina;2010;total_homens;12998
919;2906899;Caraíbas;Sudoeste Baiano;2010;total_homens;5216
920;2906907;Caravelas;Extremo Sul;2010;total_homens;10873
921;2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;2010;total_homens;4502
922;2907103;Carinhanha;Velho Chico;2010;total_homens;14523
923;2907202;Casa Nova;Sertão do São Francisco;2010;total_homens;33091
924;2907301;Castro Alves;Recôncavo;2010;total_homens;12268
925;2907400;Catolândia;Bacia do Rio Grande;2010;total_homens;1354
926;2907509;Catu;Litoral Norte e Agreste Baiano;2010;total_homens;24816
927;2907558;Caturama;Bacia do Paramirim;2010;total_homens;4543
928;2907608;Central;Irecê;2010;total_homens;8689
929;2907707;Chorrochó;Itaparica;2010;total_homens;5442
930;2907806;Cícero Dantas;Semiárido Nordeste II;2010;total_homens;15860
931;2907905;Cipó;Semiárido Nordeste II;2010;total_homens;7678
932;2908002;Coaraci;Litoral Sul;2010;total_homens;10274
933;2908101;Côcos;Bacia do Rio Corrente;2010;total_homens;9303
934;2908200;Conceição da Feira;Portal do Sertão;2010;total_homens;9922
