;codigo_municipio;Municipios;Territorios.de.Identidade;sexo;Ano;faixa_etarias;total_faixa
203;2917201;Ituaçu;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-884
204;2917300;Ituberá;Baixo Sul;Masculino;2000;Entre.0.a.4;-1470
205;2917334;Iuiú;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-709
206;2917359;Jaborandi;Bacia do Rio Corrente;Masculino;2000;Entre.0.a.4;-548
207;2917409;Jacaraci;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-518
208;2917508;Jacobina;Piemonte da Diamantina;Masculino;2000;Entre.0.a.4;-3808
209;2917607;Jaguaquara;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-2679
210;2917706;Jaguarari;Piemonte Norte do Itapicuru;Masculino;2000;Entre.0.a.4;-1442
211;2917805;Jaguaripe;Baixo Sul;Masculino;2000;Entre.0.a.4;-836
212;2917904;Jandaíra;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-704
213;2918001;Jequié;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-6963
214;2918100;Jeremoabo;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-2008
215;2918209;Jiquiriçá;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-694
216;2918308;Jitaúna;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-960
217;2918357;João Dourado;Irecê;Masculino;2000;Entre.0.a.4;-1084
218;2918407;Juazeiro;Sertão do São Francisco;Masculino;2000;Entre.0.a.4;-10020
219;2918456;Jucuruçu;Extremo Sul;Masculino;2000;Entre.0.a.4;-698
220;2918506;Jussara;Irecê;Masculino;2000;Entre.0.a.4;-865
221;2918555;Jussari;Litoral Sul;Masculino;2000;Entre.0.a.4;-371
222;2918605;Jussiape;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-297
223;2918704;Lafaiete Coutinho;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-155
224;2919058;Lagoa Real;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-710
225;2918753;Laje;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-1039
226;2918803;Lajedão;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-145
227;2918902;Lajedinho;Extremo Sul;Masculino;2000;Entre.0.a.4;-237
228;2919009;Lajedo do Tabocal;Piemonte do Paraguaçu;Masculino;2000;Entre.0.a.4;-410
229;2919108;Lamarão;Sisal;Masculino;2000;Entre.0.a.4;-496
230;2919157;Lapão;Irecê;Masculino;2000;Entre.0.a.4;-1428
231;2919207;Lauro de Freitas;Metropolitano de Salvador;Masculino;2000;Entre.0.a.4;-5912
232;2919306;Lençóis;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-563
233;2919405;Licínio de Almeida;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-551
234;2919504;Livramento de Nossa Senhora;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-1812
235;2919553;;Bacia do Rio Grande;;NA;Entre.0.a.4;NA
236;2919603;Macajuba;Piemonte do Paraguaçu;Masculino;2000;Entre.0.a.4;-641
237;2919702;Macarani;Médio Sudoeste da Bahia;Masculino;2000;Entre.0.a.4;-739
238;2919801;Macaúbas;Bacia do Paramirim;Masculino;2000;Entre.0.a.4;-2220
239;2919900;Macururé;Itaparica;Masculino;2000;Entre.0.a.4;-488
240;2919926;Madre de Deus;Metropolitano de Salvador;Masculino;2000;Entre.0.a.4;-585
241;2919959;Maetinga;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-616
242;2920007;Maiquinique;Médio Sudoeste da Bahia;Masculino;2000;Entre.0.a.4;-381
243;2920106;Mairi;Bacia do Jacuípe;Masculino;2000;Entre.0.a.4;-989
244;2920205;Malhada;Velho Chico;Masculino;2000;Entre.0.a.4;-959
245;2920304;Malhada de Pedras;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-466
246;2920403;Manoel Vitorino;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-815
247;2920452;Mansidão;Bacia do Rio Grande;Masculino;2000;Entre.0.a.4;-648
248;2920502;Maracás;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-1329
249;2920601;Maragogipe;Recôncavo;Masculino;2000;Entre.0.a.4;-1945
250;2920700;Maraú;Litoral Sul;Masculino;2000;Entre.0.a.4;-1433
251;2920809;Marcionílio Souza;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-644
252;2920908;Mascote;Litoral Sul;Masculino;2000;Entre.0.a.4;-882
253;2921005;Mata de São João;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-1579
254;2921054;Matina;Velho Chico;Masculino;2000;Entre.0.a.4;-610
255;2921104;Medeiros Neto;Extremo Sul;Masculino;2000;Entre.0.a.4;-982
256;2921203;Miguel Calmon;Piemonte da Diamantina;Masculino;2000;Entre.0.a.4;-1393
257;2921302;Milagres;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-625
258;2921401;Mirangaba;Piemonte da Diamantina;Masculino;2000;Entre.0.a.4;-800
259;2921450;Mirante;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-454
260;2921500;Monte Santo;Sisal;Masculino;2000;Entre.0.a.4;-3257
261;2921609;Morpará;Velho Chico;Masculino;2000;Entre.0.a.4;-391
262;2921708;Morro do Chapéu;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-2125
263;2921807;Mortugaba;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-511
264;2921906;Mucugê;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-730
265;2922003;Mucuri;Extremo Sul;Masculino;2000;Entre.0.a.4;-1705
266;2922052;Mulungu do Morro;Irecê;Masculino;2000;Entre.0.a.4;-952
267;2922102;Mundo Novo;Piemonte do Paraguaçu;Masculino;2000;Entre.0.a.4;-1194
268;2922201;Muniz Ferreira;Recôncavo;Masculino;2000;Entre.0.a.4;-328
269;2922250;Muquém de São Francisco;Velho Chico;Masculino;2000;Entre.0.a.4;-670
270;2922300;Muritiba;Recôncavo;Masculino;2000;Entre.0.a.4;-1358
271;2922409;Mutuípe;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-954
272;2922508;Nazaré;Recôncavo;Masculino;2000;Entre.0.a.4;-1246
273;2922607;Nilo Peçanha;Baixo Sul;Masculino;2000;Entre.0.a.4;-650
274;2922656;Nordestina;Sisal;Masculino;2000;Entre.0.a.4;-736
275;2922706;Nova Canaã;Médio Sudoeste da Bahia;Masculino;2000;Entre.0.a.4;-764
276;2922730;Nova Fátima;Bacia do Jacuípe;Masculino;2000;Entre.0.a.4;-319
277;2922755;Nova Ibiá;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-347
278;2922805;Nova Itarana;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-415
279;2922854;Nova Redenção;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-554
280;2922904;Nova Soure;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-1449
281;2923001;Nova Viçosa;Extremo Sul;Masculino;2000;Entre.0.a.4;-1990
282;2923035;Novo Horizonte;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-399
283;2923050;Novo Triunfo;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-679
284;2923100;Olindina;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-1474
285;2923209;Oliveira dos Brejinhos;Velho Chico;Masculino;2000;Entre.0.a.4;-1215
286;2923308;Ouriçangas;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-339
287;2923357;Ourolândia;Piemonte da Diamantina;Masculino;2000;Entre.0.a.4;-882
288;2923407;Palmas de Monte Alto;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-971
289;2923506;Palmeiras;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-480
290;2923605;Paramirim;Bacia do Paramirim;Masculino;2000;Entre.0.a.4;-663
291;2923704;Paratinga;Velho Chico;Masculino;2000;Entre.0.a.4;-1483
292;2923803;Paripiranga;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-1451
293;2923902;Pau Brasil;Litoral Sul;Masculino;2000;Entre.0.a.4;-719
294;2924009;Paulo Afonso;Itaparica;Masculino;2000;Entre.0.a.4;-4875
295;2924058;Pé de Serra;Bacia do Jacuípe;Masculino;2000;Entre.0.a.4;-683
296;2924108;Pedrão;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-339
297;2924207;Pedro Alexandre;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-1019
298;2924306;Piatã;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-980
299;2924405;Pilão Arcado;Sertão do São Francisco;Masculino;2000;Entre.0.a.4;-1884
300;2924504;Pindaí;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-721
301;2924603;Pindobaçu;Piemonte Norte do Itapicuru;Masculino;2000;Entre.0.a.4;-1132
302;2924652;Pintadas;Bacia do Jacuípe;Masculino;2000;Entre.0.a.4;-590
303;2924678;Piraí do Norte;Baixo Sul;Masculino;2000;Entre.0.a.4;-690
304;2924702;Piripá;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-839
305;2924801;Piritiba;Piemonte do Paraguaçu;Masculino;2000;Entre.0.a.4;-1023
306;2924900;Planaltino;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-395
