CodigodoMunicipio; Municipios;TerritoriosdeIdentidade;Ano;Branca;Preta;Amarela;Parda;Indigena;Ignorado
2919306;Lençóis;Chapada Diamantina;1991;10,8;7,2;0,1;81,7;;0,3
2919405;Licínio de Almeida;Sudoeste Baiano;1991;40,1;4,7;0,1;54,9;;0,3
2919504;Livramento de N. Senhora;Sertão Produtivo;1991;46,7;10;;43,1;;0,2
2919553;Luís Eduardo Magalhães;Bacia do Rio Grande;1991;;;;;;
2919603;Macajuba;Piemonte do Paraguaçu;1991;21,4;7,8;;70,6;;0,2
2919702;Macarani;Médio Sudoeste da Bahia;1991;32,8;6,7;1,2;59,2;;0,2
2919801;Macaúbas;Bacia do Paramirim;1991;40,5;6,7;;52,5;0;0,3
2919900;Macururé;Itaparica;1991;8,2;1,7;;89,5;;0,7
2919926;Madre de Deus;Metropolitano de Salvador;1991;12,4;5,5;0,1;81,7;0,1;0,2
2919959;Maetinga;Sudoeste Baiano;1991;34,2;4;;61,4;;0,4
2920007;Maiquinique;Médio Sudoeste da Bahia;1991;40,4;6,3;;52,5;;0,8
2920106;Mairi;Bacia do Jacuípe;1991;27,3;6,7;0,1;65,4;;0,6
2920205;Malhada;Velho Chico;1991;12,2;12,2;;75,5;;0
2920304;Malhada de Pedras;Sertão Produtivo;1991;34,9;2,8;;61,5;;0,8
2920403;Manoel Vitorino;Médio Rio de Contas;1991;39,3;5,4;;55;;0,3
2920452;Mansidão;Bacia do Rio Grande;1991;3,9;3,4;;92,7;;0
2920502;Maracás;Vale do Jiquiriçá;1991;20,2;5,6;;73,9;0,1;0,2
2920601;Maragogipe;Recôncavo;1991;12,4;12;0;74,5;;1
2920700;Maraú;Litoral Sul;1991;9;9;;81,6;0;0,4
2920809;Marcionílio Souza;Chapada Diamantina;1991;17,4;14,5;0;67,1;;1
2920908;Mascote;Litoral Sul;1991;5,6;4,9;0;88,5;0,1;1
2921005;Mata de São João;Metropolitano de Salvador;1991;6,8;13,1;0,3;79,3;0,2;0,3
2921054;Matina;Velho Chico;1991;32,4;17,7;0;49,9;;
2921104;Medeiros Neto;Extremo Sul;1991;25,7;3,6;;70,3;;0,4
2921203;Miguel Calmon;Piemonte da Diamantina;1991;17,5;12,4;0,1;69,6;;0,4
2921302;Milagres;Vale do Jiquiriçá;1991;28,1;9,9;;61,8;;0,2
2921401;Mirangaba;Piemonte da Diamantina;1991;13,4;13;0,3;72,8;0,1;0,4
2921450;Mirante;Sudoeste Baiano;1991;31,1;0,7;0,1;67,8;;0,3
2921500;Monte Santo;Sisal;1991;28;3,7;0,5;66,5;0,1;1,1
2921609;Morpará;Velho Chico;1991;23;25,8;;51,2;;
2921708;Morro do Chapéu;Chapada Diamantina;1991;20,4;11,7;;67,7;;0,2
2921807;Mortugaba;Sudoeste Baiano;1991;21;4,8;;74,2;0;
2921906;Mucugê;Chapada Diamantina;1991;11,3;8,5;;80,1;0,1;
2922003;Mucuri;Extremo Sul;1991;13,5;6,6;;79,3;0,6;
2922052;Mulungu do Morro;Irecê;1991;12,2;3,2;0;83,7;0;0,8
2922102;Mundo Novo;Piemonte do Paraguaçu;1991;17,4;10,7;0,1;71,3;0,1;0,4
2922201;Muniz Ferreira;Recôncavo;1991;14,4;19,3;;65,9;0,4;
2922250;Muquém do São Francisco;Velho Chico;1991;15;9;;74,3;1,5;0,2
2922300;Muritiba;Recôncavo;1991;14,5;12,5;0;72,9;;0,1
