;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;local_natural;total_natural
566;2912509;Ibipitanga;Bacia do Paramirim;2000;natural.do.mun;11902
567;2912608;Ibiquera;Piemonte do Paraguaçu;2000;natural.do.mun;3845
568;2912707;Ibirapitanga;Baixo Sul;2000;natural.do.mun;14836
569;2912806;Ibirapoã;Extremo Sul;2000;natural.do.mun;4600
570;2912905;Ibirataia;Médio Rio de Contas;2000;natural.do.mun;18894
571;2913002;Ibitiara;Chapada Diamantina;2000;natural.do.mun;13298
572;2913101;Ibititá;Irecê;2000;natural.do.mun;13610
573;2913200;Ibotirama;Velho Chico;2000;natural.do.mun;15040
574;2913309;Ichu;Sisal;2000;natural.do.mun;4582
575;2913408;Igaporã;Velho Chico;2000;natural.do.mun;12703
576;2913457;Igrapiúna;Baixo Sul;2000;natural.do.mun;12100
577;2913507;Iguaí;Médio Sudoeste da Bahia;2000;natural.do.mun;20602
578;2913606;Ilhéus;Litoral Sul;2000;natural.do.mun;163273
579;2913705;Inhambupe;Litoral Norte e Agreste Baiano;2000;natural.do.mun;25057
580;2913804;Ipecaetá;Portal do Sertão;2000;natural.do.mun;17783
581;2913903;Ipiaú;Médio Rio de Contas;2000;natural.do.mun;29092
582;2914000;Ipirá;Bacia do Jacuípe;2000;natural.do.mun;55504
583;2914109;Ipupiara;Irecê;2000;natural.do.mun;7231
584;2914208;Irajuba;Vale do Jiquiriçá;2000;natural.do.mun;5032
585;2914307;Iramaia;Chapada Diamantina;2000;natural.do.mun;15405
586;2914406;Iraquara;Chapada Diamantina;2000;natural.do.mun;15458
587;2914505;Irará;Portal do Sertão;2000;natural.do.mun;22169
588;2914604;Irecê;Irecê;2000;natural.do.mun;31261
589;2914653;Itabela;Costa do Descobrimento;2000;natural.do.mun;13940
590;2914703;Itaberaba;Piemonte do Paraguaçu;2000;natural.do.mun;40633
591;2914802;Itabuna;Litoral Sul;2000;natural.do.mun;126601
592;2914901;Itacaré;Litoral Sul;2000;natural.do.mun;12466
593;2915007;Itaeté;Chapada Diamantina;2000;natural.do.mun;11647
594;2915106;Itagi;Médio Rio de Contas;2000;natural.do.mun;12447
595;2915205;Itagibá;Médio Rio de Contas;2000;natural.do.mun;12176
596;2915304;Itagimirim;Costa do Descobrimento;2000;natural.do.mun;4821
597;2915353;Itaguaçu da Bahia;Irecê;2000;natural.do.mun;7620
598;2915403;Itaju do Colônia;Litoral Sul;2000;natural.do.mun;5127
599;2915502;Itajuípe;Litoral Sul;2000;natural.do.mun;15509
600;2915601;Itamaraju;Extremo Sul;2000;natural.do.mun;42203
601;2915700;Itamari;Médio Rio de Contas;2000;natural.do.mun;5641
602;2915809;Itambé;Médio Sudoeste da Bahia;2000;natural.do.mun;26189
603;2915908;Itanagra;Litoral Norte e Agreste Baiano;2000;natural.do.mun;4840
604;2916005;Itanhém;Extremo Sul;2000;natural.do.mun;14821
605;2916104;Itaparica;Metropolitano de Salvador;2000;natural.do.mun;13066
606;2916203;Itapé;Litoral Sul;2000;natural.do.mun;12093
607;2916302;Itapebi;Costa do Descobrimento;2000;natural.do.mun;7567
608;2916401;Itapetinga;Médio Sudoeste da Bahia;2000;natural.do.mun;37362
609;2916500;Itapicuru;Litoral Norte e Agreste Baiano;2000;natural.do.mun;22893
610;2916609;Itapitanga;Litoral Sul;2000;natural.do.mun;9188
611;2916708;Itaquara;Vale do Jiquiriçá;2000;natural.do.mun;6497
612;2916807;Itarantim;Médio Sudoeste da Bahia;2000;natural.do.mun;14003
613;2916856;Itatim;Piemonte do Paraguaçu;2000;natural.do.mun;10167
614;2916906;Itiruçu;Vale do Jiquiriçá;2000;natural.do.mun;10614
615;2917003;Itiúba;Sisal;2000;natural.do.mun;31161
616;2917102;Itororó;Médio Sudoeste da Bahia;2000;natural.do.mun;12668
617;2917201;Ituaçu;Sertão Produtivo;2000;natural.do.mun;15576
618;2917300;Ituberá;Baixo Sul;2000;natural.do.mun;17339
619;2917334;Iuiu;Sertão Produtivo;2000;natural.do.mun;8785
620;2917359;Jaborandi;Bacia do Rio Corrente;2000;natural.do.mun;9143
621;2917409;Jacaraci;Sudoeste Baiano;2000;natural.do.mun;12343
622;2917508;Jacobina;Piemonte da Diamantina;2000;natural.do.mun;54197
623;2917607;Jaguaquara;Vale do Jiquiriçá;2000;natural.do.mun;32350
624;2917706;Jaguarari;Piemonte Norte do Itapicuru;2000;natural.do.mun;21789
625;2917805;Jaguaripe;Baixo Sul;2000;natural.do.mun;11054
626;2917904;Jandaíra;Litoral Norte e Agreste Baiano;2000;natural.do.mun;8318
627;2918001;Jequié;Médio Rio de Contas;2000;natural.do.mun;107420
628;2918100;Jeremoabo;Semiárido Nordeste II;2000;natural.do.mun;28331
629;2918209;Jiquiriçá;Vale do Jiquiriçá;2000;natural.do.mun;11061
630;2918308;Jitaúna;Médio Rio de Contas;2000;natural.do.mun;17604
631;2918357;João Dourado;Irecê;2000;natural.do.mun;12811
632;2918407;Juazeiro;Sertão do São Francisco;2000;natural.do.mun;107292
633;2918456;Jucuruçu;Extremo Sul;2000;natural.do.mun;9011
634;2918506;Jussara;Irecê;2000;natural.do.mun;11825
635;2918555;Jussari;Litoral Sul;2000;natural.do.mun;4831
636;2918605;Jussiape;Chapada Diamantina;2000;natural.do.mun;9858
637;2918704;Lafayette Coutinho;Vale do Jiquiriçá;2000;natural.do.mun;3482
638;2919058;LaGedo do Tabocal;Vale do Jiquiriçá;2000;natural.do.mun;5847
639;2918753;Lagoa Real;Sertão Produtivo;2000;natural.do.mun;11801
640;2918803;Laje;Vale do Jiquiriçá;2000;natural.do.mun;15701
641;2918902;Lajedão;Extremo Sul;2000;natural.do.mun;1831
642;2919009;Lajedinho;Piemonte do Paraguaçu;2000;natural.do.mun;3403
643;2919108;Lamarão;Sisal;2000;natural.do.mun;8614
644;2919157;Lapão;Irecê;2000;natural.do.mun;17260
645;2919207;Lauro de Freitas;Metropolitano de Salvador;2000;natural.do.mun;43458
646;2919306;Lençóis;Chapada Diamantina;2000;natural.do.mun;6175
647;2919405;Licínio de Almeida;Sudoeste Baiano;2000;natural.do.mun;10458
648;2919504;Livramento de N. Senhora;Sertão Produtivo;2000;natural.do.mun;32256
