CD_GEOCMU;NM_MUNICIP;NM_TI;Ano2001;Ano2002;Ano2003;Ano2004;Ano2005;Ano2006;Ano2007;Ano2008;Ano2009;Ano2011;Ano2012;Ano2013;Ano2014;Ano2015;Ano2016;Ano2017;Ano2018;Ano2019;Ano2020
2924405;Pilão Arcado;Sertão do São Francisco;30497;30453;30332;30079;29939;29803;32844;34144;34466;33021;33176;35237;35255;35428;35590;35740;34486;35048;35175
2924504;Pindaí;Sertão Produtivo;15342;15267;15161;14939;14817;14698;15306;15759;15772;15662;15695;16708;16758;16805;16849;16889;16234;16260;16285
2924603;Pindobaçu;Piemonte Norte do Itapicuru;20416;20200;19890;19238;18878;18528;20312;20873;20854;20064;20009;21113;21087;21062;21191;21171;20204;20150;20098
2924652;Pintadas;Bacia do Jacuípe;11259;11037;11088;11195;11254;11311;10551;10831;10812;10295;10250;10798;10769;10742;11036;11012;10482;10437;10394
2924678;Piraí do Norte;Baixo Sul;10028;9724;9398;8714;8336;7969;8897;8975;8818;9816;9833;10415;9777;10360;10386;10411;10007;10023;10036
2924702;Piripá;Sudoeste Baiano;16814;17330;17888;19059;19707;20335;13515;13597;13325;12506;12219;12678;12452;12238;12035;11849;10952;10707;10475
2924801;Piritiba;Piemonte do Paraguaçu;18372;17956;17454;16400;15817;15252;24189;25612;26265;22658;22907;24462;24785;25027;25002;25211;24538;24755;24964
2924900;Planaltino;Vale do Jiquiriçá;7669;7465;7233;6748;6479;6218;8472;8802;8880;8884;8944;9516;9413;9473;9529;9582;9272;9322;9370
2925006;Planalto;Sudoeste Baiano;21420;21324;21147;20774;20567;20367;21486;22127;22151;24694;24627;26225;26436;26632;26743;26915;26092;26265;26426
2925105;Poções;Sudoeste Baiano;44928;45555;46178;47486;48210;48911;44759;46224;46390;44723;45903;48576;48655;48729;48798;48861;46862;46871;46879
2925204;Pojuca;Metropolitano de Salvador;26617;26960;27323;28085;28506;28914;30221;31687;32225;33595;34106;36551;37061;37543;37993;39718;39045;39519;39972
2925253;Ponto Novo;Piemonte Norte do Itapicuru;17141;17190;17192;17195;17197;17199;14820;14974;14734;15632;15524;16321;16242;16168;15892;15830;15012;14914;14819
2925303;Porto Seguro;Costa do Descobrimento;103155;108568;114531;127048;133976;140692;114459;120460;122896;129325;131642;141006;143282;145431;147444;149324;146625;148686;150658
2925402;Potiraguá;Médio Sudoeste da Bahia;15060;15461;15870;16729;17204;17665;10350;10123;9656;9444;9360;9574;9263;8969;8694;8438;7549;7224;6916
2925501;Prado;Extremo Sul;26810;27311;27689;28481;28920;29345;25429;26082;26016;27661;27693;29095;29158;29218;29273;29326;28152;28174;28194
2925600;Presidente Dutra;Irecê;13775;13840;13891;13999;14058;14116;13822;14264;14306;13779;13807;14629;14672;14712;15699;15734;15121;15142;15160
2925709;Presidente Jânio Quadros;Sudoeste Baiano;17375;17659;17945;18543;18874;19196;14803;14039;14212;13484;12854;13442;13307;13178;13456;13334;12505;12338;12179
2925758;Presidente Tancredo Neves;Baixo Sul;19468;19587;19672;19850;19948;20044;22684;23817;24249;24187;24517;26238;27187;27505;27803;28082;27422;27719;28004
2925808;Queimadas;Sisal;24778;24918;25060;25357;25522;25682;27186;28368;28729;24602;24602;26023;26054;26083;26525;26552;25445;25439;25433
2925907;Quijingue;Sisal;26665;26885;27121;27617;27891;28157;27068;28001;28143;27294;27357;28996;29088;28093;28556;28632;27533;27580;27626
2925931;Quixabeira;Bacia do Jacuípe;8912;8527;8092;7177;6671;9298;9348;9624;9631;9534;9514;10045;10038;10033;9414;9411;8990;8972;8956
2925956;Rafael Jambeiro;Piemonte do Paraguaçu;22575;22606;22609;22614;22618;22621;23107;23893;24004;22896;22916;24258;24305;24349;23525;23562;22610;22621;22633
2926004;Remanso;Sertão do São Francisco;36473;36652;36835;37219;37432;37639;38004;39415;39705;39165;39365;41824;42056;42275;42481;42672;41200;41008;41170
2926103;Retirolândia;Sisal;10880;10805;10765;10681;10635;10590;11938;12446;11798;12170;12281;13092;13209;13319;14627;14730;14295;14396;14495
2926202;Riachão das Neves;Bacia do Rio Grande;22173;22261;22421;22756;22941;23121;22528;23309;23431;21939;21941;23209;23237;23264;23290;23313;22343;22339;22334
2926301;Riachão do Jacuípe;Bacia do Jacuípe;30865;30375;29792;28566;27888;27231;32522;33326;33666;33222;33271;35237;35322;35403;34715;34784;33403;33436;33468
2926400;Riacho de Santana;Velho Chico;28701;28934;29069;29353;29510;29662;29425;30444;30602;30840;31027;35586;35819;36039;36246;36439;35240;35421;35593
2926509;Ribeira do Amparo;Semiárido Nordeste II;13885;13895;13891;13883;13879;13874;14101;14566;14621;14305;14333;15186;15229;15269;15308;15443;14843;14592;14612
2926608;Ribeira do Pombal;Semiárido Nordeste II;46714;47061;47429;48200;48626;49040;47400;49024;49263;47701;47877;50805;51026;51418;54773;54965;52956;53807;53956
2926657;Ribeirão do Largo;Sudoeste Baiano;15412;16223;16650;17547;18043;18524;14297;14612;14528;8675;10432;9195;8713;8260;7835;7437;6304;5812;5343
2926707;Rio de Contas;Chapada Diamantina;13914;13907;13894;13710;13695;13680;13447;13823;13816;12948;12891;13592;13653;13616;13581;13712;13048;12989;12932
2926806;Rio do Antônio;Sertão Produtivo;14784;14914;15042;15312;15461;15606;15096;14926;15110;14917;15015;15427;15530;15628;15720;15804;15289;15371;15448
2926905;Rio do Pires;Bacia do Paramirim;12043;11991;11982;11963;11953;11943;11385;11659;11612;11933;11948;12033;12060;12084;12109;12130;11645;11655;11663
2927002;Rio Real;Litoral Norte e Agreste Baiano;33906;34412;34947;36070;36691;37294;36169;37675;38095;37464;37754;40203;40515;40809;41085;41767;40475;40732;40976
2927101;Rodelas;Itaparica;6475;6673;6864;7267;7489;7705;7023;7341;7446;7912;8045;8632;8763;8887;9297;9405;9213;9331;9442
