Codigo do Municipio;Municipios;Territorios Identidade;Total;Nascidos vivos;Nascidos mortos;percentual_nascidosvivos
2907905;Cipó;Semiárido Nordeste II;17377;16177;1200;0,069056799
2908002;Coaraci;Litoral Sul;23810;22386;1424;0,059806804
2908101;Côcos;Bacia do Rio Corrente;19676;18582;1094;0,055600732
2908200;Conceição da Feira;Portal do Sertão;21564;20341;1223;0,056714895
2908309;Conceição do Almeida;Recôncavo;16462;15373;1090;0,066213097
2908408;Conceição do Coité;Sisal;66185;62452;3732;0,056387399
2908507;Conceição do Jacuípe;Portal do Sertão;28888;27433;1456;0,050401551
2908606;Conde;Litoral Norte e Agreste Baiano;25937;24351;1585;0,061109612
2908705;Condeúba;Sudoeste Baiano;19701;18612;1089;0,055276382
2908804;Contendas do Sincorá;Sertão Produtivo;5462;5238;224;0,041010619
2908903;Coração de Maria;Portal do Sertão;24979;23820;1159;0,046398975
2909000;Cordeiros;Sudoeste Baiano;9983;9362;622;0,06230592
2909109;Coribe;Bacia do Rio Corrente;15970;15286;683;0,042767689
2909208;Coronel João Sá;Semiárido Nordeste II;20154;18965;1189;0,058995733
2909307;Correntina;Bacia do Rio Corrente;31911;30674;1237;0,038764063
2909406;Cotegipe;Bacia do Rio Grande;16118;15422;696;0,043181536
2909505;Cravolândia;Vale do Jiquiriçá;6001;5519;483;0,080486586
2909604;Crisópolis;Litoral Norte e Agreste Baiano;21942;20618;1324;0,060340899
2909703;Cristópolis;Bacia do Rio Grande;14720;14312;408;0,027717391
2909802;Cruz das Almas;Recôncavo;56508;53995;2514;0,044489276
2909901;Curaçá;Sertão do São Francisco;31644;29781;1863;0,05887372
2910008;Dário Meira;Médio Rio de Contas;12154;11549;605;0,049777851
2910057;Dias D'Ávila;Metropolitano de Salvador;54716;51882;2834;0,051794722
2910107;Dom Basílio;Sertão Produtivo;11968;11650;318;0,026570856
2910206;Dom Macedo Costa;Recôncavo;4040;3939;102;0,025247525
2910305;Elísio Medrado;Vale do Jiquiriçá;9035;8702;333;0,036856669
2910404;Encruzilhada;Sudoeste Baiano;23982;22352;1630;0,067967642
2910503;Entre Rios;Litoral Norte e Agreste Baiano;37224;35418;1806;0,048517086
2900504;Érico Cardoso;Bacia do Paramirim;11170;10804;366;0,032766338
2910602;Esplanada;Litoral Norte e Agreste Baiano;34588;32093;2495;0,072134844
2910701;Euclides da Cunha;Semiárido Nordeste II;65836;61919;3917;0,059496324
2910727;Eunápolis;Costa do Descobrimento;91447;86565;4882;0,053386114
2910750;Fátima;Semiárido Nordeste II;21411;20300;1111;0,051889216
2910776;Feira da Mata;Velho Chico;6881;6563;318;0,046214213
2910800;Feira de Santana;Portal do Sertão;474114;450151;23962;0,050540587
2910859;Filadélfia;Piemonte Norte do Itapicuru;18984;18340;644;0,033923304
2910909;Firmino Alves;Médio Sudoeste da Bahia;6256;5878;378;0,060421995
2911006;Floresta Azul;Litoral Sul;13188;12290;899;0,068168032
2911105;Formosa do Rio Preto;Bacia do Rio Grande;19965;18883;1082;0,054194841
2911204;Gandu;Baixo Sul;30435;28061;2375;0,078035157
2911253;Gavião;Bacia do Jacuípe;5445;5258;187;0,034343434
2911303;Gentio do Ouro;Irecê;11870;11252;617;0,051979781
2911402;Glória;Itaparica;15441;14879;562;0,036396606
2911501;Gongogi;Médio Rio de Contas;9280;8839;442;0,04762931
2911600;Governador Mangabeira;Recôncavo;20192;19175;1017;0,050366482
